Tree,Leaf length ,Leaf width,Branches,Trunk ht,Height,Biomass index
CS501,134,10.45,46,0.4,2.49,14.03
CS502,120,6.1,29,0.31,1.84,9.27
CS503,111,8.75,46,0.48,2.94,16.53
CS504,100,7.7,6,0.38,0.95,2.42
CS505,152,7.75,12,0.27,1.52,6.00
CS506,129,8.85,18,0.37,1.24,4.87
CS507,100,8.35,10,0.36,1.39,4.81
CS508,172,8.65,11,0.4,1.2,3.97
CS509,96,6.35,2,0.28,0.6,0.92
CS510,160,8.5,10,0.31,1.41,5.06
CS511,119,7.05,35,0.43,3.03,16.37
CS512,82,8.3,72,0.54,2.35,13.52
CS513,77,6.55,42,0.72,2.79,13.95
CS514,136,8.5,12,0.32,1.62,6.28
CS515,135,8.3,5,0.21,0.86,2.37
CS515,117,9.05,60,0.82,3.23,17.47
CS517,120,9.7,2,0.59,1.1,1.61
CS518,116,7.8,2,0.53,0.8,1.07
CS519,111,8,29,0.51,2.23,10.59
CS520,143,10.4,1,NA,1.43,1.43
CS521,115,8.4,1,NA,0.91,0.91
CS522,163,12.1,1,NA,1.36,1.36
CS523,88,5.25,1,NA,0.47,0.47
CS524,161,9.35,7,0.28,1.14,3.55
CS525,111,8.35,8,0.68,1.64,4.52
CS526,105,7.2,1,NA,0.3,0.30
CS527,145,13.2,1,NA,1.28,1.28
CS528,134,9.65,14,0.48,1.44,5.10
CS529,95,6,1,NA,0.34,0.34
CS530,93,6.1,2,0.46,0.76,1.06
CS531,101,7.2,60,0.38,3.36,20.96
CS532,113,6.1,46,0.31,1.98,11.20
CS533,107,7.7,2,0.63,0.94,1.25
CS534,134,7.1,2,0.78,1.15,1.52
CS535,112,7.5,4,0.5,1.71,4.13
CS536,112,6.9,3,0.54,0.92,1.52
CS537,133,9.5,8,0.34,1.39,4.54
CS538,106,6.6,69,0,2.21,15.71
CS539,114,7.4,1,NA,0.36,0.36
CS540,107,7.5,1,NA,0.4,0.40
CS541,148,6.1,15,0.55,2.02,7.76
CS542,129,7.6,13,0.36,1.91,7.65
CS543,130,7.5,27,0.49,2.32,11.02
CS544,115,5.7,44,0.28,1.83,10.29
CS545,107,6.9,23,0,2.64,14.58
CS546,159,8.5,6,0.51,1.32,3.41
CS547,136,7.7,2,0.42,1.03,1.64
CS548,138,5.8,2,0.49,1.68,2.87
CS549,116,6.6,4,0.38,1.32,3.20
CS550,85,7.5,3,0.05,0.56,1.37
CS551,149,9,12,0.61,1.88,6.43
CS700,130,9.45,12,0.55,1.23,3.67
CS701,142,10.8,7,0.64,2.07,6.08
CS702,118,10.5,5,0.61,1.24,2.70
CS703,85,8.35,4,0.63,0.81,1.17
CS704,113,6.75,25,0.74,2.3,9.54
CS705,111,9.1,23,0.44,3.1,15.13
CS706,110,7.2,5,0.35,0.82,1.91
CS707,139,11.85,4,0.55,1.72,4.06
CS708,115,11.9,2,0.57,0.71,0.85
CS709,121,7.5,29,0.52,2.31,11.01
CS710,110,7.45,1,NA,0.71,0.71
CS711,80,7.1,1,NA,0.65,0.65
CS712,117,8,6,0.27,1.35,4.14
CS713,119,8.85,11,0.53,2.54,9.49
CS714,159,8.15,8,0.72,2.32,7.12
RSR001,151,9.8,12,0.36,1.45,5.36
RSR002,123,7.7,3,0.49,1.23,2.40
RSR003,123,7.5,5,0.46,1.31,3.28
RSR004,115,6.4,27,0.22,1.96,10.23
RSR005,77,5.1,21,0.51,2.01,8.60
RSR006,93,6.6,2,0.42,0.6,0.78
RSR007,139,8.3,1,NA,1.09,1.09
RSR008,89,6,17,0.29,2.07,9.35
RSR009,102,6.1,12,0.33,1.52,5.79
RSR010,115,7.4,2,0.69,0.97,1.25
RSR011,125,7,2,0.66,0.84,1.02
RSR012,107,7.7,14,0.56,1.92,7.10
RSR013,89,7.8,7,0.7,2.1,6.03
RSR014,108,6.8,64,0.12,2.49,16.71
RSR015,93,7.5,4,0.01,1.46,4.36
RSR016,115,7.2,6,0.28,0.92,2.57
RSR017,111,9.1,2,0.4,0.69,0.98
RSR018,76,9.3,1,NA,0.41,0.41
RSR019,104,7.4,28,0.64,2.76,12.95
RSR020,97,4.9,2,0.4,0.51,0.62
RSR021,131,7.8,7,0.46,1.3,3.66
RSR022,101,7.5,3,0.19,1.44,3.42
RSR023,106,7.6,12,0.58,2.04,7.27
RSR024,112,6.1,44,0.37,1.84,9.87
RSR025,127,7,10,0.32,1.19,4.08
RSR026,122,7.9,9,0.61,2.81,9.78
RSR027,132,7.2,3,0.44,1.21,2.43
RSR028,97,7.4,8,0.36,1.03,3.04
RSR029,117,7.7,8,0.39,1.32,4.11
RSR030,122,8.7,23,1.37,3.21,11.53
RSR031,109,7.4,2,0.3,0.52,0.74
RSR032,139,8.3,4,0.79,1.17,1.93
RSR033,105,6.2,23,0.26,2.04,10.09
RSR034,89,5.8,25,0.23,2.28,11.80
RSR035,97,7.3,3,0.26,0.76,1.55
RSR036,121,8.9,18,0.2,2,9.51
RSR037,103,7.7,1,NA,0.34,0.34
RSR038,174,12.3,2,0.41,1.22,2.03
RSR039,106,7.6,4,0.94,1.69,3.19
RSR040,119,9.2,12,0.39,1.81,6.90
RSR041,101,8.8,24,0.42,2.5,12.04
RSR042,141,11.4,6,0.42,1.35,3.75
RSR043,104,6.8,1,NA,0.35,0.35
RSR044,153,8.1,12,0.33,1.75,6.84
RSR045,114,7,3,0.19,0.6,1.25
RSR046,189,11.1,20,0.1,2.04,10.42
RSR047,146,10.7,8,0.41,1.75,5.77
RSR048,96,9.2,6,0.08,1.96,6.82
RSR049,125,8.3,2,0.43,0.62,0.81
RSR050,131,9.4,6,0.14,2.59,8.92
RSR051,135,7.3,19,0.35,2.23,10.22
RSR052,131,10.4,6,0.31,1.35,4.04
RSR053,120,6,1,NA,0.37,0.37
RSR054,98,7.3,2,0.42,0.58,0.74
RSR055,122,6.6,1,NA,0.38,0.38
RSR056,125,7.3,1,NA,0.25,0.25
RSR057,140,11.1,2,1.34,1.47,1.60
RSR058,108,8.6,1,NA,0.36,0.36
RSR059,117,7.4,2,0.25,0.37,0.49
RSR060,117,6.5,1,NA,0.28,0.28
RSR061,95,7.4,1,NA,0.31,0.31
RSR100,129,7.85,2,0.3,0.59,0.88
RSR101,169,10.5,2,0.34,0.71,1.08
RSR102,110,8.55,65,0.27,2.14,13.40
RSR103,148,9.1,2,0.58,0.77,0.96
RSR104,111,8.6,1,NA,0.46,0.46
RSR105,126,9.15,8,0.39,1.7,5.63
RSR106,133,10.9,9,0.35,2.23,8.19
RSR107,112,10.05,15,0.55,2.14,8.35
RSR108,100,7.2,2,0.41,0.79,1.17
RSR109,117,6,30,0.28,2.3,12.21
RSR110,109,9.05,2,0.34,0.56,0.78
RSR111,100,6.85,2,0.25,0.46,0.67
RSR112,71,7.6,1,NA,0.39,0.39
RSR113,100,6.9,13,0.58,1.67,5.70
RSR114,100,5.7,34,0.49,2.62,13.46
RSR115,168,9.05,7,0.57,1.92,5.71
RSR116,112,8.8,2,0.4,0.53,0.66
RSR117,115,7.05,35,0.42,2.38,12.43
RSR118,129,10.5,10,0.32,2.06,7.84
RSR119,120,9.1,17,0.68,1.98,7.29
RSR120,130,7.7,13,0.34,2.36,9.83
RSR121,119,8.6,2,0.46,0.68,0.90
RSR122,117,8.8,15,0.55,1.38,4.62
RSR123,93,6.8,4,0.45,0.7,1.20
TV1003,146,9.8,41,0.13,1.73,10.31
TV2001,140,11.3,8,0.95,3.00,9.15
TV2002,150,7.1,13,0.33,1.30,4.89
TV2003,129,9.3,30,0.48,2.18,10.52
TV2004,150,5.9,2,0.32,0.90,1.48
TV2005,120,8.1,25,0.45,2.62,12.70
TV2006,148,8.1,10,0.24,1.60,6.12
TV2007,124,10.3,24,0.56,2.69,12.46
TV2008,167,10.2,3,0.27,1.50,3.45
TV2009,134,10.0,4,0.68,1.42,2.90
TV2011,161,10.3,15,0.46,2.10,8.51
TV2012,235,10.3,2,0.63,2.25,3.87
TV2013,147,9.0,15,1.13,2.56,8.15
TV2014,212,15.0,2,0.33,1.20,2.07
TV2015,141,8.4,19,0.35,2.92,13.84
TV2016,154,9.2,1,NA,1.36,1.36
TV2017,169,9.5,5,0.56,2.40,6.67
TV2018,169,11.0,4,1.20,1.51,2.13
TV2019,163,10.1,4,1.58,1.85,2.39
