Tree,Lat,Lat ',Long,Long '
51C0001,37,22.157,115,26.337
51C0002,37,22.093,115,26.334
51C0003,37,22.068,115,26.338
51C0004,37,21.996,115,26.397
51C0005,37,22.007,115,26.175
51C0006,37,22.007,115,26.165
51C0007,37,22.020,115,25.927
51C0008,37,22.056,115,25.917
51C0009,37,22.138,115,25.948
51C0010,37,22.123,115,25.965
51C0011,37,22.136,115,25.959
51C0012,37,22.046,115,26.549
51C0050,37,23.814,115,26.725
51C0051,37,23.358,115,26.401
51C0052,37,23.296,115,26.403
51C0053,37,23.220,115,26.528
51C0054,37,23.180,115,26.495
51C0055,37,22.996,115,26.399
51C0056,37,23.071,115,26.620
51C0057,37,23.100,115,26.615
51C0058,37,23.243,115,26.823
51C0059,37,24.048,115,26.427
51C0060,37,24.000,115,25.792
51C0061,37,24.032,115,25.605
51C0062,37,24.046,115,25.526
51C0063,37,24.135,115,25.526
51C0064,37,24.138,115,25.341
51C0065,37,24.151,115,24.874
51C0066,37,24.046,115,25.435
51C0067,37,24.042,115,25.650
51C0068,37,24.051,115,25.669
51C0100,37,22.031,115,26.262
51C0101,37,22.023,115,26.262
51C0102,37,22.040,115,26.272
51C0103,37,22.018,115,26.262
51C0104,37,22.042,115,26.276
51C0105,37,22.007,115,26.261
51C0106,37,22.045,115,26.289
51C0107,37,22.002,115,26.268
51C0108,37,22.030,115,26.289
51C0109,37,22.008,115,26.268
51C0110,37,22.030,115,26.289
51C0111,37,22.005,115,26.273
51C0112,37,22.035,115,26.294
51C0113,37,22.003,115,26.276
51C0114,37,22.042,115,26.302
51C0115,37,22.003,115,26.276
51C0116,37,22.025,115,26.320
51C0117,37,22.003,115,26.276
51C0118,37,22.018,115,26.319
51C0119,37,22.003,115,26.276
51C0120,37,22.014,115,26.315
51C0121,37,21.999,115,26.278
51C0122,37,22.011,115,26.322
51C0123,37,21.996,115,26.288
51C0124,37,22.010,115,26.316
51C0125,37,21.995,115,26.294
51C0126,37,22.018,115,26.304
51C0127,37,21.997,115,26.294
51C0128,37,22.002,115,26.314
51C0129,37,22.006,115,26.296
51C0130,37,22.001,115,26.309
51C0131,37,22.004,115,26.295
51C0132,37,22.001,115,26.308
51C0133,37,22.055,115,26.125
51C0134,37,22.003,115,26.308
51C0135,37,22.053,115,26.125
51C0136,37,22.072,115,26.145
51C0137,37,22.037,115,26.136
51C0138,37,22.072,115,26.152
51C0139,37,22.049,115,26.142
51C0140,37,22.063,115,26.152
51C0141,37,22.048,115,26.151
51C0142,37,22.074,115,26.159
51C0143,37,22.048,115,26.151
51C0144,37,22.056,115,26.162
51C0145,37,22.050,115,26.155
51C0146,37,22.071,115,26.165
51C0147,37,22.028,115,26.156
51C0148,37,22.075,115,26.173
51C0149,37,22.028,115,26.165
51C0150,37,22.053,115,26.163
51C0151,37,22.039,115,26.186
51C0152,37,22.055,115,26.167
51C0153,37,22.044,115,26.180
51C0154,37,22.057,115,26.166
51C0155,37,22.050,115,26.194
51C0156,37,22.064,115,26.171
51C0158,37,22.067,115,26.176
51C0160,37,22.055,115,26.169
51C0162,37,22.059,115,26.188
51C0164,37,22.052,115,26.186
51C301,37,22.363,115,24.513
51C302,37,22.366,115,24.451
51C303,37,22.405,115,24.457
51C304,37,22.281,115,24.459
51C306,37,22.362,115,24.232
51C307,37,22.420,115,24.263
51C309,37,22.373,115,24.175
51C311,37,22.187,115,24.526
51C312,37,22.189,115,24.488
51C313,37,22.205,115,24.490
51C314,37,22.201,115,24.573
51C315,37,22.192,115,24.564
51C316,37,22.305,115,24.630
51C317,37,22.355,115,24.444
51C318,37,22.266,115,24.473
51C319,37,22.169,115,24.274
51C320,37,22.343,115,24.183
51C321,37,22.323,115,24.157
51C323,37,22.378,115,24.259
51C324,37,22.386,115,24.302
51C325,37,22.338,115,24.476
51C330,37,22.207,115,24.473
51C331,37,22.218,115,24.485
51C332,37,22.223,115,24.595
51C333,37,22.297,115,24.572
51C334,37,22.294,115,24.601
51C335,37,22.333,115,24.524
51C7000,37,22.361,115,24.435
51C7001,37,22.393,115,24.424
51C7003,37,22.415,115,24.522
51C7005,37,22.245,115,24.374
AL0001,34,12.002,113,23.600
AL0002,34,12.042,113,23.659
AL0003,34,12.054,113,23.692
AL0004,34,12.068,113,23.779
AL0005,34,11.969,113,23.852
AL0006,34,11.899,113,23.961
AL0007,34,11.807,113,23.886
AL0008,34,11.841,113,23.813
AL0009,34,11.911,113,23.631
AL0010,34,11.900,113,23.523
Alamo I1,34,43.256,113,57.886
Alamo I10,34,43.271,113,57.872
Alamo I11,34,43.271,113,57.871
Alamo I12,34,43.288,113,57.836
Alamo I13,34,43.288,113,57.818
Alamo I14,34,43.288,113,57.818
Alamo I15,34,43.288,113,57.818
Alamo I16,34,43.288,113,57.816
Alamo I17,34,43.286,113,57.816
Alamo I18,34,43.286,113,57.816
Alamo I19,34,43.286,113,57.816
Alamo I2,34,43.256,113,57.886
Alamo I20,34,43.286,113,57.816
Alamo I21,34,43.300,113,57.798
Alamo I22,34,43.320,113,57.747
Alamo I23,34,43.320,113,57.747
Alamo I24,34,43.320,113,57.747
Alamo I25,34,43.320,113,57.747
Alamo I26,34,43.320,113,57.747
Alamo I27,34,43.320,113,57.747
Alamo I28,34,43.320,113,57.747
Alamo I29,34,43.327,113,57.737
Alamo I3,34,43.264,113,57.887
Alamo I30,34,43.327,113,57.737
Alamo I31,34,43.327,113,57.737
Alamo I32,34,43.327,113,57.737
Alamo I33,34,43.330,113,57.732
Alamo I34,34,43.330,113,57.732
Alamo I35,34,43.327,113,57.718
Alamo I36,34,43.327,113,57.718
Alamo I37,34,43.347,113,57.713
Alamo I38,34,43.347,113,57.713
Alamo I39,34,43.347,113,57.713
Alamo I4,34,43.269,113,57.870
Alamo I40,34,43.347,113,57.713
Alamo I41,34,43.347,113,57.713
Alamo I42,34,43.344,113,57.698
Alamo I43,34,43.346,113,57.667
Alamo I44,34,43.347,113,57.668
Alamo I45,34,43.345,113,57.668
Alamo I46,34,43.345,113,57.603
Alamo I47,34,43.345,113,57.603
Alamo I48,34,43.345,113,57.603
Alamo I49,34,43.348,113,57.664
Alamo I5,34,43.270,113,57.871
Alamo I50,34,43.369,113,57.630
Alamo I51,34,43.374,113,57.635
Alamo I52,34,43.374,113,57.635
Alamo I6,34,43.270,113,57.870
Alamo I7,34,43.270,113,57.871
Alamo I8,34,43.270,113,57.873
Alamo I9,34,43.270,113,57.873
Alamo II1,34,48.306,114,5.133
Alamo II10,34,48.307,114,4.916
Alamo II11,34,48.308,114,4.910
Alamo II12,34,48.300,114,4.842
Alamo II13,34,48.300,114,4.844
Alamo II14,34,48.311,114,4.742
Alamo II15,34,48.311,114,4.742
Alamo II16,34,48.000,114,4.753
Alamo II17,34,48.311,114,4.749
Alamo II18,34,48.311,114,4.749
Alamo II19,34,48.307,114,4.740
Alamo II2,34,48.299,114,5.124
Alamo II20,34,48.313,114,4.669
Alamo II21,34,48.313,114,4.669
Alamo II22,34,48.301,114,4.611
Alamo II23,34,48.301,114,4.611
Alamo II24,34,48.323,114,4.581
Alamo II25,34,48.316,114,4.566
Alamo II26,34,48.305,114,4.572
Alamo II27,34,48.306,114,4.584
Alamo II28,34,48.298,114,4.574
Alamo II29,34,48.298,114,4.574
Alamo II3,34,48.897,114,5.115
Alamo II30,34,48.298,114,4.574
Alamo II31,34,48.312,114,4.470
Alamo II32,34,48.310,114,4.460
Alamo II33,34,48.293,114,4.446
Alamo II34,34,48.296,114,0.377
Alamo II35,34,48.311,114,4.293
Alamo II36,34,48.311,114,4.280
Alamo II37,34,48.296,114,4.252
Alamo II38,34,48.296,114,4.252
Alamo II39,34,48.896,114,4.252
Alamo II4,34,48.297,114,5.115
Alamo II40,34,48.296,114,4.252
Alamo II41,34,48.309,114,4.250
Alamo II42,34,48.309,114,4.211
Alamo II43,34,48.297,114,4.207
Alamo II44,34,48.293,114,4.169
Alamo II45,34,48.290,114,4.166
Alamo II46,34,48.303,114,4.141
Alamo II47,34,48.303,114,4.141
Alamo II48,34,48.303,114,4.141
Alamo II49,34,48.298,114,4.142
Alamo II5,34,48.298,114,5.052
Alamo II50,34,48.298,114,4.142
Alamo II51,34,48.298,114,4.142
Alamo II6,34,48.303,114,5.038
Alamo II7,34,48.305,114,4.991
Alamo II8,34,48.314,114,4.964
Alamo II9,34,48.300,114,4.929
CF0001,36,12.677,117,56.109
CF0002,36,12.686,117,56.101
CF0003,36,12.664,117,56.090
CF0004,36,12.658,117,56.086
CF0005,36,12.671,117,56.074
CF0006,36,12.680,117,56.070
CF0007,36,12.674,117,56.047
CF0008,36,12.616,117,46.008
CF0009,36,12.607,117,56.013
CF0010,36,12.618,117,56.034
Crystal Springs1,37,30.292,115,18.143
Crystal Springs10,37,30.304,115,18.101
Crystal Springs11,37,30.303,115,18.094
Crystal Springs12,37,30.315,115,18.061
Crystal Springs13,37,30.326,115,17.995
Crystal Springs14,37,30.336,115,17.992
Crystal Springs15,37,30.343,115,17.992
Crystal Springs16,37,30.348,115,17.960
Crystal Springs17,37,30.349,115,17.987
Crystal Springs18,37,30.356,115,17.982
Crystal Springs19,37,30.355,115,17.970
Crystal Springs2,37,30.307,115,18.131
Crystal Springs20,37,30.370,115,17.949
Crystal Springs21,37,30.366,115,17.944
Crystal Springs22,37,30.362,115,17.940
Crystal Springs23,37,30.364,115,17.937
Crystal Springs24,37,30.364,115,17.937
Crystal Springs25,37,30.364,115,17.934
Crystal Springs26,37,30.363,115,17.929
Crystal Springs27,37,30.363,115,17.932
Crystal Springs28,37,30.356,115,17.922
Crystal Springs29,37,30.358,115,17.913
Crystal Springs3,37,30.294,115,18.126
Crystal Springs30,37,30.366,115,17.898
Crystal Springs31,37,30.371,115,17.889
Crystal Springs32,37,30.362,115,17.889
Crystal Springs33,37,30.369,115,17.884
Crystal Springs34,37,30.370,115,17.871
Crystal Springs35,37,30.357,115,17.872
Crystal Springs36,37,30.370,115,17.865
Crystal Springs37,37,30.371,115,17.852
Crystal Springs38,37,30.370,115,17.836
Crystal Springs39,37,30.374,115,17.833
Crystal Springs4,37,30.298,115,18.121
Crystal Springs40,37,30.376,115,17.834
Crystal Springs41,37,30.374,115,17.828
Crystal Springs42,37,30.376,115,17.876
Crystal Springs43,37,30.380,115,17.828
Crystal Springs44,37,30.394,115,17.775
Crystal Springs45,37,30.387,115,17.767
Crystal Springs46,37,30.385,115,17.767
Crystal Springs47,37,30.387,115,17.778
Crystal Springs48,37,30.385,115,17.761
Crystal Springs49,37,30.387,115,17.760
Crystal Springs5,37,30.301,115,18.100
Crystal Springs50,37,30.384,115,17.758
Crystal Springs6,37,30.298,115,18.107
Crystal Springs7,37,30.306,115,18.102
Crystal Springs8,37,30.301,115,18.105
Crystal Springs9,37,30.312,115,18.102
CS0501,37,30.932,115,16.023
CS0502,37,30.799,115,16.341
