numb,Tree,missing,Pop,%Brev_Run1,%Brev_Run2,%Brev Ave
206,51C0001,0,6,0.002,0.004,0.003
207,51C0003,-10,6,0.009,0.012,0.0105
208,51C0005,0,6,0.004,0.006,0.005
209,51C0006,-5,6,0.003,0.005,0.004
210,51C0007,0,6,0.002,0.004,0.003
211,51C0008,0,6,0.002,0.004,0.003
212,51C0009,0,6,0.003,0.005,0.004
213,51C0010,0,6,0.002,0.003,0.0025
214,51C0011,0,6,0.002,0.004,0.003
215,51C0012,0,6,0.002,0.003,0.0025
216,51C0050,0,6,0.001,0.003,0.002
217,51C0051,-15,6,0.003,0.004,0.0035
218,51C0053,0,6,0.003,0.004,0.0035
219,51C0054,0,6,0.003,0.005,0.004
220,51C0055,-15,6,0.016,0.021,0.0185
221,51C0056,-10,6,0.072,0.079,0.0755
222,51C0057,-20,6,0.004,0.006,0.005
223,51C0059,-20,6,0.002,0.003,0.0025
224,51C0060,-40,6,0.003,0.005,0.004
225,51C0061,-10,6,0.002,0.003,0.0025
226,51C0062,0,6,0.002,0.004,0.003
227,51C0063,-10,6,0.002,0.003,0.0025
228,51C0065,-20,6,0.002,0.003,0.0025
229,51C0066,0,6,0.002,0.004,0.003
230,51C0067,-5,6,0.008,0.011,0.0095
231,51C0068,-10,6,0.002,0.004,0.003
232,51C0100,-5,6,0.003,0.004,0.0035
233,51C0101,-30,6,0.007,0.01,0.0085
234,51C0102,-30,6,0.002,0.004,0.003
235,51C0103,-15,6,0.005,0.008,0.0065
236,51C0104,-30,6,0.001,0.003,0.002
237,51C0105,-30,6,0.002,0.003,0.0025
238,51C0106,-30,6,0.002,0.004,0.003
239,51C0107,-30,6,0.003,0.005,0.004
240,51C0108,0,6,0.004,0.006,0.005
241,51C0109,0,6,0.003,0.004,0.0035
242,51C0110,0,6,0.004,0.006,0.005
243,51C0112,0,6,0.003,0.004,0.0035
244,51C0113,-5,6,0.002,0.004,0.003
245,51C0114,-10,6,0.002,0.004,0.003
246,51C0115,-10,6,0.002,0.004,0.003
247,51C0116,0,6,0.002,0.003,0.0025
248,51C0117,-5,6,0.002,0.004,0.003
249,51C0118,-5,6,0.113,0.116,0.1145
250,51C0119,-15,6,0.004,0.006,0.005
251,51C0120,-10,6,0.005,0.007,0.006
252,51C0122,0,6,0.004,0.007,0.0055
253,51C0123,-5,6,0.002,0.004,0.003
254,HS0001,0,1,0.003,0.003,0.003
255,HS0002,0,1,0.002,0.002,0.002
256,HS0003,0,1,0.001,0.001,0.001
257,HS0005,0,1,0.001,0.001,0.001
258,HS0011,-10,1,0.001,0.001,0.001
259,HS0012,0,1,0.001,0.001,0.001
260,HS0013,0,1,0.001,0.001,0.001
261,HS0014,0,1,0.001,0.001,0.001
262,HS0015,0,1,0.001,0.001,0.001
263,HS0016,0,1,0.001,0.001,0.001
264,HS0017,0,1,0.001,0.001,0.001
265,HS0018,0,1,0.001,0.001,0.001
266,HS0019,0,1,0.001,0.001,0.001
267,HS0020,0,1,0.001,0.002,0.0015
268,HS0021,0,1,0.001,0.001,0.001
269,HS0022,0,1,0.001,0.001,0.001
270,HS0023,0,1,0.002,0.002,0.002
271,HS0024,-30,1,0.001,0.001,0.001
272,HS0025,-10,1,0.001,0.001,0.001
273,HS0026,0,1,0.001,0.001,0.001
274,HS0027,0,1,0.002,0.002,0.002
275,HS0028,0,1,0.001,0.001,0.001
276,HS0107,0,1,0.002,0.002,0.002
277,HS0116,0,1,0.001,0.001,0.001
278,HS0121,0,1,0.001,0.002,0.0015
279,HS0123,0,1,0.001,0.001,0.001
280,HS0130,0,1,0.001,0.001,0.001
281,HS0154,0,1,0.001,0.001,0.001
282,HS0167,0,1,0.001,0.001,0.001
283,HS0172,-5,1,0.002,0.002,0.002
284,HS0180,-5,1,0.003,0.003,0.003
285,HS0181,-5,1,0.001,0.001,0.001
286,HS0182,-30,1,0.002,0.002,0.002
287,HS0194,-30,1,0.004,0.004,0.004
288,HS0200,0,1,0.001,0.001,0.001
289,HS0252,0,1,0.001,0.001,0.001
290,HS0253,0,1,0.003,0.003,0.003
291,HS0256,0,1,0.001,0.001,0.001
292,HS0257,0,1,0.003,0.003,0.003
293,HS0258,-15,1,0.001,0.001,0.001
294,HS0259,-30,1,0.001,0.001,0.001
295,HS0260,-50,1,0.002,0.002,0.002
296,HS0261,-10,1,0.001,0.001,0.001
297,HS0262,0,1,0.001,0.001,0.001
298,HS0300,0,1,0.001,0.001,0.001
299,HS0301,0,1,0.001,0.001,0.001
300,HS0302,0,1,0.001,0.001,0.001
301,HS0303,0,1,0.001,0.001,0.001
302,HS0304,0,1,0.003,0.003,0.003
303,HS0305,0,1,0.001,0.001,0.001
304,HS0306,-10,1,0.001,0.001,0.001
305,HS0307,0,1,0.001,0.001,0.001
1,HSt01,0,1,0.003,0.003,0.003
2,HSt0107,0,1,0.002,0.002,0.002
3,HSt0116,0,1,0.001,0.001,0.001
4,HSt0121,0,1,0.002,0.002,0.002
5,HSt0123,0,1,0.001,0.001,0.001
6,HSt0130,0,1,0.001,0.001,0.001
7,HSt0154,0,1,0.001,0.001,0.001
8,HSt0159,0,1,0.794,0.757,0.7755
9,HSt0167,0,1,0.001,0.001,0.001
10,HSt0172,-5,1,0.002,0.002,0.002
11,HSt0180,0,1,0.007,0.006,0.0065
12,HSt0181,-5,1,0.001,0.001,0.001
13,HSt0182,-30,1,0.002,0.002,0.002
14,HSt0194,-30,1,0.009,0.008,0.0085
15,HSt02,-10,1,0.002,0.002,0.002
16,HSt0200,0,1,0.001,0.001,0.001
17,HSt0252,0,1,0.001,0.001,0.001
18,HSt0253,0,1,0.003,0.003,0.003
19,HSt0253,-5,1,0.004,0.004,0.004
20,HSt0256,0,1,0.001,0.001,0.001
21,HSt0257,0,1,0.003,0.003,0.003
22,HSt0258,0,1,0.002,0.002,0.002
23,HSt0258,-10,1,0.001,0.001,0.001
24,HSt0259,-30,1,0.001,0.001,0.001
25,HSt0260,-50,1,0.002,0.002,0.002
26,HSt0261,0,1,0.001,0.001,0.001
27,HSt0262,0,1,0.001,0.001,0.001
28,HSt03,-10,1,0.001,0.001,0.001
29,HSt0300,0,1,0.001,0.001,0.001
30,HSt0301,0,1,0.001,0.001,0.001
31,HSt0302,0,1,0.001,0.001,0.001
32,HSt0303,-5,1,0.001,0.001,0.001
33,HSt0304,0,1,0.003,0.003,0.003
34,HSt0305,0,1,0.001,0.001,0.001
35,HSt0306,-10,1,0.001,0.001,0.001
36,HSt0307,0,1,0.001,0.001,0.001
37,HSt05,-10,1,0.001,0.001,0.001
38,HSt11,-20,1,0.002,0.002,0.002
39,HSt18,0,1,0.001,0.001,0.001
40,HSt19,0,1,0.001,0.001,0.001
41,HSt20,0,1,0.002,0.002,0.002
42,HSt21,0,1,0.001,0.001,0.001
43,HSt23,0,1,0.002,0.002,0.002
44,HSt24,0,1,0.001,0.001,0.001
45,HSt27,0,1,0.002,0.002,0.002
46,HSt28,0,1,0.001,0.001,0.001
47,HStXX1,0,1,0.001,0.001,0.001
48,HStXX1,0,1,0.001,0.001,0.001
49,HStXX1,0,1,0.003,0.003,0.003
50,HStXX1,-10,1,0.003,0.003,0.003
51,HStXX1,0,1,0.002,0.002,0.002
52,HStXX1,0,1,0.001,0.001,0.001
53,HStXX1,0,1,0.002,0.002,0.002
54,HStXX1,0,1,0.001,0.001,0.001
55,HStXX1,0,1,0.002,0.002,0.002
56,HStXX1,0,1,0.002,0.002,0.002
57,HStXX1,-20,1,0.002,0.002,0.002
58,HStXX1,0,1,0.001,0.001,0.001
59,HStXX1,0,1,0.011,0.01,0.0105
60,HStXX1,0,1,0.001,0.001,0.001
61,HStXX1,0,1,0.003,0.003,0.003
62,HStXX1,0,1,0.003,0.003,0.003
63,HStXX1,-10,1,0.005,0.004,0.0045
64,HStXX1,0,1,0.001,0.001,0.001
65,HStXX1,0,1,0.001,0.001,0.001
66,HStXX1,-20,1,0.001,0.001,0.001
67,HStXX1,0,1,0.001,0.001,0.001
68,HStXX1,0,1,0.001,0.001,0.001
69,HStXX1,-10,1,0.001,0.001,0.001
70,HStXX1,0,1,0.001,0.001,0.001
71,HStXX1,0,1,0.004,0.003,0.0035
72,HStXX1,0,1,0.001,0.001,0.001
73,HStXX1,0,1,0.002,0.002,0.002
74,HStXX1,-10,1,0.001,0.001,0.001
75,HStXX1,-10,1,0.003,0.003,0.003
76,HStXX1,0,1,0.016,0.016,0.016
77,HStXX1,-10,1,0.004,0.005,0.0045
78,HStXX1,-10,1,0.002,0.002,0.002
