Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Sat Nov 23 15:37:57 2024


*** MCMC Parameters ***

Seed                         : 1732401457
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 91804
  Initial temperature c0     : 114.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 500000
Iterations                   : 3000000
Sample frequency             : 10
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 10000
  Nmmax                      : 10000

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |          1 |          0 |  -3725.630 |  -4166.763 |  154.313 |  114.000 |  0.66 |   0.301 |   0.301 |      0 |
 |          2 |     275412 |  -3645.051 |  -4015.065 |  108.219 |  111.386 |  0.69 |   0.397 |   0.397 |      0 |
 |          3 |     550823 |  -3632.340 |  -4103.179 |  162.494 |  107.859 |  0.68 |   0.398 |   0.398 |      0 |
 |          4 |     826234 |  -3632.340 |  -4206.477 |  213.908 |  105.631 |  0.65 |   0.765 |   0.765 |      0 |
 |          5 |    1101645 |  -3630.128 |  -4044.632 |  142.640 |  104.000 |  0.69 |   0.476 |   0.476 |      0 |
 |          6 |    1377056 |  -3630.128 |  -4005.004 |  120.219 |  101.645 |  0.70 |   0.938 |   0.938 |      0 |
 |          7 |    1652467 |  -3630.128 |  -4208.206 |  144.574 |   98.986 |  0.64 |   0.462 |   0.462 |      0 |
 |          8 |    1927878 |  -3613.807 |  -4031.942 |  136.589 |   96.879 |  0.68 |   0.553 |   0.553 |      0 |
 |          9 |    2203289 |  -3613.807 |  -4026.593 |  130.393 |   94.744 |  0.69 |   0.445 |   0.445 |      0 |
 |         10 |    2478700 |  -3613.807 |  -4037.825 |  142.600 |   92.606 |  0.69 |   1.234 |   1.234 |      0 |
 |         11 |    2754111 |  -3613.807 |  -3961.455 |  104.422 |   90.734 |  0.71 |   0.586 |   0.586 |      0 |
 |         12 |    3029522 |  -3564.078 |  -4059.320 |  139.568 |   88.297 |  0.68 |   0.434 |   0.434 |      0 |
 |         13 |    3304933 |  -3564.078 |  -4117.110 |  172.899 |   86.557 |  0.66 |   0.522 |   0.522 |      0 |
 |         14 |    3580344 |  -3564.078 |  -4104.709 |  112.760 |   85.202 |  0.66 |   0.494 |   0.494 |      0 |
 |         15 |    3855755 |  -3564.078 |  -4123.518 |  172.467 |   83.205 |  0.66 |   0.622 |   0.622 |      0 |
 |         16 |    4131166 |  -3564.078 |  -4064.660 |  120.329 |   81.948 |  0.67 |   0.599 |   0.599 |      0 |
 |         17 |    4406577 |  -3564.078 |  -4110.958 |  166.212 |   80.213 |  0.66 |   0.614 |   0.614 |      0 |
 |         18 |    4681988 |  -3564.078 |  -3983.070 |  119.233 |   79.002 |  0.69 |   0.385 |   0.385 |      0 |
 |         19 |    4957399 |  -3564.078 |  -4116.217 |  126.803 |   77.373 |  0.66 |   0.365 |   0.365 |      0 |
 |         20 |    5232810 |  -3564.078 |  -4167.892 |  176.621 |   75.902 |  0.65 |   0.701 |   0.701 |      0 |
 |         21 |    5508221 |  -3557.083 |  -3979.084 |  114.744 |   74.879 |  0.69 |   0.509 |   0.509 |      0 |
 |         22 |    5783632 |  -3557.083 |  -4172.823 |   98.379 |   73.358 |  0.65 |   0.627 |   0.627 |      0 |
 |         23 |    6059043 |  -3557.083 |  -4048.585 |  112.429 |   71.661 |  0.66 |   0.585 |   0.585 |      0 |
 |         24 |    6334454 |  -3557.083 |  -3939.832 |  101.208 |   70.238 |  0.70 |   0.673 |   0.673 |      0 |
 |         25 |    6609865 |  -3557.083 |  -4071.207 |  129.780 |   68.723 |  0.68 |   0.659 |   0.659 |      0 |
