        ID       SIRE        DAM
   51C0001           *          *
   51C0002           *          *
   51C0004           *          *
   51C0005           *          *
   51C0006           *          *
   51C0007           *          *
   51C0008           *          *
   51C0009           *          *
   51C0010           *          *
   51C0011           *          *
   51C0012           *          *
   51C0050           *          *
   51C0051           *          *
   51C0053           *          *
   51C0054           *          *
   51C0055           *          *
   51C0056           *          *
   51C0057           *          *
   51C0059           *          *
   51C0060           *          *
   51C0061           *          *
   51C0062           *          *
   51C0063           *          *
   51C0065           *          *
   51C0066           *          *
   51C0067           *          *
   51C0068           *          *
   51C0100           *          *
   51C0101           *          *
   51C0102           *          *
   51C0103           *          *
   51C0104           *          *
   51C0105           *          *
   51C0106           *          *
   51C0107           *          *
   51C0108           *          *
   51C0109           *          *
   51C0112           *          *
   51C0113           *          *
   51C0114           *          *
   51C0116           *          *
   51C0118           *          *
   51C0120           *          *
   51C0122           *          *
   51C0123           *          *
    HS0001           *          *
    HS0002           *          *
    HS0003           *          *
    HS0005           *          *
    HS0010           *          *
    HS0011           *          *
    HS0012           *          *
    HS0019           *          *
    HS0020           *          *
    HS0021           *          *
    HS0023           *          *
    HS0026           *          *
    HS0027           *          *
    HS0028           *          *
    HS0107      HS0130          *
    HS0116           *          *
    HS0121           *          *
    HS0123           *          *
    HS0130           *          *
    HS0154           *          *
    HS0167           *          *
    HS0172           *          *
    HS0174           *          *
    HS0176           *          *
    HS0180           *          *
    HS0181      HS0200          *
    HS0182           *          *
    HS0186           *          *
    HS0192           *          *
    HS0194           *          *
    HS0200      HS0204          *
    HS0204           *          *
    HS0252           *          *
    HS0253           *          *
    HS0256           *          *
    HS0257           *          *
    HS0258           *          *
    HS0259           *          *
    HS0260           *          *
    HS0261           *          *
    HS0262           *          *
    HS0300      HS0021          *
    HS0301           *          *
    HS0302           *          *
    HS0303           *          *
    HS0304           *          *
    HS0305           *          *
    HS0306           *          *
    HS0307           *          *
    MB0001           *          *
    MB0002           *          *
    MB0003           *          *
    MB0004      MB0116          *
    MB0005           *          *
    MB0006           *          *
    MB0007           *          *
    MB0008           *          *
    MB0009           *          *
    MB0010           *          *
    MB0011      MB0009          *
    MB0012           *          *
    MB0013           *          *
    MB0014           *          *
    MB0015           *          *
    MB0016           *          *
    MB0017           *          *
    MB0018           *          *
    MB0019           *          *
    MB0020           *          *
    MB0021           *          *
    MB0022           *          *
    MB0023           *          *
    MB0024           *          *
    MB0025           *          *
    MB0100           *          *
    MB0101           *          *
    MB0102           *          *
    MB0103           *          *
    MB0104           *          *
    MB0105           *          *
    MB0106           *          *
    MB0107           *          *
    MB0108           *          *
    MB0109           *          *
    MB0110           *          *
    MB0111           *          *
    MB0112           *          *
    MB0113           *          *
    MB0114           *          *
    MB0115           *          *
    MB0116      MB0020          *
    MB0117           *          *
    MB0118           *          *
    MB0119           *          *
    MB0120           *          *
    MB0121           *          *
    MB0400           *          *
    MB0401           *          *
    MB0402           *          *
    MB0403           *          *
    MB0404           *          *
    MB0405           *          *
    MB0406           *          *
    MB0407           *          *
    MB0408           *          *
    MB0410           *          *
    MB0411           *          *
    MB0412           *          *
    MB0414           *          *
    MB0450           *          *
    MB0451           *          *
    MB0452           *          *
    MB0453           *          *
    MB0454           *          *
    MB0455           *          *
    MB0456           *          *
    MB0458           *          *
    MB0459           *          *
    MB0460           *          *
    MB0461           *          *
    MB0462           *          *
    MB0464           *          *
    MB0465           *          *
    MR0001           *          *
    MR0002           *          *
    MR0003           *          *
    MR0004           *          *
    MR0005           *          *
    MR0006           *          *
    MR0007           *          *
    MR0008           *          *
    MR0009           *          *
    MR0010           *          *
    MR0011           *          *
    MR0012           *          *
    MR0013           *          *
    MR0014           *          *
    MR0015           *          *
    MR0016           *          *
    MR0017           *          *
    MR0018           *          *
    MR0019           *          *
    MR0020           *          *
    MR0021           *          *
    MR0022           *          *
    MR0023           *          *
    MR0024           *          *
    MR0025           *          *
    MR0026           *          *
    MR0027           *          *
    MR0028           *          *
    MR0029           *          *
    MR0030           *          *
    MR0031           *          *
    MR0032      MR0033          *
    MR0033           *          *
    MR0034           *          *
    MR0035           *          *
    MR0036           *          *
    MR0037           *          *
    MR0038           *          *
    MR0039           *          *
    MR0040           *          *
    MR0041           *          *
    MR0042           *          *
    MR0043           *          *
    MR0044           *          *
    MR0045           *          *
    MR0046      MR0043          *
    MR0047           *          *
    MR0050           *          *
    MR0051           *          *
    MR0056           *          *
    MR0057           *          *
    MR0058           *          *
    MR0060           *          *
    MR0061           *          *
    MR0062           *          *
    MR0063           *          *
    MR0064           *          *
    MR0065           *          *
    TV0002           *          *
    TV0003      TV0019          *
    TV0004           *          *
    TV0005           *          *
    TV0006           *          *
    TV0007           *          *
    TV0008           *          *
    TV0009           *          *
    TV0010           *          *
    TV0012           *          *
    TV0013           *          *
    TV0019      TV4005          *
    TV0174           *          *
    TV0175           *          *
    TV0176           *          *
    TV0177           *          *
    TV0178           *          *
    TV0179           *          *
    TV0180           *          *
    TV0181           *          *
    TV0182           *          *
    TV0183           *          *
    TV0184           *          *
    TV0185           *          *
    TV0186           *          *
    TV0187           *          *
    TV0188           *          *
    TV0189           *          *
    TV0190      TV0196          *
    TV0191           *          *
    TV0192           *          *
    TV0194           *          *
    TV0195           *          *
