Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Tue Apr 15 02:01:41 2025


*** MCMC Parameters ***

Seed                         : 1744707681
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 82780
  Initial temperature c0     : 111.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 50000000
Iterations                   : 1215752192
Sample frequency             : 1000
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 60000
  Nmmax                      : 60000

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |          1 |          0 |  -3318.593 |  -3848.821 |  183.774 |  111.000 |  0.64 |   0.497 |   0.497 |      0 |
 |          2 |     248340 |  -3318.593 |  -3824.232 |  201.242 |  108.910 |  0.64 |   0.358 |   0.358 |      0 |
 |          3 |     496679 |  -3318.593 |  -3799.831 |  177.093 |  107.069 |  0.65 |   0.531 |   0.531 |      0 |
 |          4 |     745018 |  -3288.411 |  -3726.323 |  145.176 |  105.051 |  0.66 |   0.600 |   0.600 |      0 |
 |          5 |     993357 |  -3288.411 |  -3712.058 |  101.217 |  102.691 |  0.66 |   0.355 |   0.355 |      0 |
 |          6 |    1241696 |  -3243.196 |  -3646.541 |  130.054 |   99.484 |  0.70 |   0.508 |   0.508 |      0 |
 |          7 |    1490035 |  -3185.333 |  -3647.321 |  113.985 |   97.124 |  0.69 |   0.518 |   0.518 |      0 |
 |          8 |    1738374 |  -3185.333 |  -3671.250 |  135.146 |   94.564 |  0.67 |   0.425 |   0.425 |      0 |
 |          9 |    1986713 |  -3185.333 |  -3771.338 |  161.918 |   92.507 |  0.64 |   0.576 |   0.576 |      0 |
 |         10 |    2235052 |  -3139.798 |  -3637.508 |  112.807 |   90.858 |  0.68 |   0.486 |   0.486 |      0 |
 |         11 |    2483391 |  -3139.798 |  -3664.920 |  120.536 |   88.591 |  0.68 |   0.579 |   0.579 |      0 |
 |         12 |    2731730 |  -3139.798 |  -3558.943 |   92.174 |   86.570 |  0.71 |   0.390 |   0.390 |      0 |
 |         13 |    2980069 |  -3139.798 |  -3757.105 |  183.023 |   84.062 |  0.65 |   0.411 |   0.411 |      0 |
 |         14 |    3228408 |  -3139.798 |  -3653.869 |  105.480 |   82.853 |  0.68 |   0.656 |   0.656 |      0 |
 |         15 |    3476747 |  -3139.798 |  -3614.335 |  125.962 |   80.835 |  0.69 |   0.352 |   0.352 |      0 |
 |         16 |    3725086 |  -3139.798 |  -3982.990 |  153.483 |   79.220 |  0.59 |   0.516 |   0.516 |      0 |
 |         17 |    3973425 |  -3139.798 |  -3771.605 |  105.080 |   77.942 |  0.64 |   0.454 |   0.454 |      0 |
 |         18 |    4221764 |  -3139.798 |  -3742.558 |  104.823 |   76.148 |  0.64 |   0.441 |   0.441 |      0 |
 |         19 |    4470103 |  -3139.798 |  -3764.287 |  164.414 |   74.430 |  0.64 |   0.370 |   0.370 |      0 |
 |         20 |    4718442 |  -3139.798 |  -3818.319 |  156.271 |   73.375 |  0.63 |   0.334 |   0.334 |      0 |
 |         21 |    4966781 |  -3139.798 |  -3765.130 |  162.882 |   72.296 |  0.65 |   0.647 |   0.647 |      0 |
 |         22 |    5215120 |  -3139.798 |  -3641.019 |   97.203 |   71.291 |  0.67 |   0.436 |   0.436 |      0 |
 |         23 |    5463459 |  -3139.798 |  -3798.503 |  157.173 |   69.668 |  0.64 |   0.358 |   0.358 |      0 |
 |         24 |    5711798 |  -3139.798 |  -3863.645 |  102.978 |   68.700 |  0.61 |   0.521 |   0.521 |      0 |
 |         25 |    5960137 |  -3139.798 |  -3688.327 |  112.206 |   67.274 |  0.66 |   0.490 |   0.490 |      0 |
 |         26 |    6208476 |  -3139.798 |  -3682.337 |  151.012 |   66.017 |  0.66 |   0.548 |   0.548 |      0 |
 |         27 |    6456815 |  -3139.798 |  -3612.855 |  117.121 |   65.112 |  0.69 |   0.879 |   0.879 |      0 |
 |         28 |    6705154 |  -3139.798 |  -3697.856 |  177.128 |   63.982 |  0.66 |   0.487 |   0.487 |      0 |
 |         29 |    6953493 |  -3139.798 |  -3923.288 |  241.465 |   63.256 |  0.60 |   0.465 |   0.465 |      0 |
 |         30 |    7201832 |  -3139.798 |  -3756.283 |  266.445 |   62.734 |  0.65 |   0.516 |   0.516 |      0 |
 |         31 |    7450171 |  -3139.798 |  -3571.022 |   96.860 |   62.268 |  0.69 |   0.541 |   0.541 |      0 |
 |         32 |    7698510 |  -3139.798 |  -3648.994 |   92.158 |   61.022 |  0.66 |   0.486 |   0.486 |      0 |
 |         33 |    7946849 |  -3139.798 |  -3648.750 |   99.737 |   59.765 |  0.67 |   0.506 |   0.506 |      0 |
 |         34 |    8195188 |  -3139.798 |  -3639.024 |  105.395 |   58.648 |  0.67 |   0.515 |   0.515 |      0 |
 |         35 |    8443527 |  -3139.798 |  -3591.010 |   94.756 |   57.630 |  0.68 |   0.390 |   0.390 |      0 |
 |         36 |    8691866 |  -3139.798 |  -3657.841 |  112.288 |   56.537 |  0.67 |   0.426 |   0.426 |      0 |
 |         37 |    8940205 |  -3139.798 |  -3665.553 |   92.665 |   55.647 |  0.66 |   0.413 |   0.413 |      0 |
 |         38 |    9188544 |  -3139.798 |  -3777.164 |  126.216 |   54.605 |  0.63 |   0.434 |   0.434 |      0 |
 |         39 |    9436883 |  -3139.798 |  -3694.820 |  100.441 |   53.865 |  0.66 |   0.404 |   0.404 |      0 |
 |         40 |    9685222 |  -3139.798 |  -3801.932 |  116.786 |   52.963 |  0.63 |   0.464 |   0.464 |      0 |
 |         41 |    9933561 |  -3139.798 |  -4087.743 |  115.443 |   52.210 |  0.56 |   0.489 |   0.489 |      0 |
 |         42 |   10181900 |  -3139.798 |  -4048.626 |  148.434 |   51.471 |  0.57 |   0.406 |   0.406 |      0 |
 |         43 |   10430239 |  -3139.798 |  -3858.486 |  145.691 |   50.910 |  0.61 |   0.482 |   0.482 |      0 |
 |         44 |   10678578 |  -3139.798 |  -3577.378 |   83.577 |   50.351 |  0.68 |   0.397 |   0.397 |      0 |
 |         45 |   10926917 |  -3139.798 |  -3662.882 |  118.001 |   49.405 |  0.66 |   0.435 |   0.435 |      0 |
 |         46 |   11175256 |  -3139.798 |  -3614.756 |  114.499 |   48.757 |  0.67 |   0.432 |   0.432 |      0 |
 |         47 |   11423595 |  -3139.798 |  -3915.997 |  153.569 |   48.106 |  0.59 |   0.451 |   0.451 |      0 |
 |         48 |   11671934 |  -3139.798 |  -3757.919 |   98.311 |   47.632 |  0.63 |   0.401 |   0.401 |      0 |
 |         49 |   11920273 |  -3139.798 |  -3695.468 |  144.338 |   46.910 |  0.65 |   0.271 |   0.271 |      0 |
 |         50 |   12168612 |  -3139.798 |  -3671.262 |  104.796 |   46.430 |  0.66 |   0.464 |   0.464 |      0 |
 |         51 |   12416951 |  -3139.798 |  -3773.677 |  129.337 |   45.786 |  0.63 |   0.461 |   0.461 |      0 |
 |         52 |   12665290 |  -3139.798 |  -3808.393 |   78.018 |   45.277 |  0.62 |   0.385 |   0.385 |      0 |
