Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Sat Jan  4 02:20:25 2025


*** MCMC Parameters ***

Seed                         : 1735982405
Update Allele Frequencies    : No
Gibbs sample missing data    : No
Check for Pedigree cycles    : Yes


*** Simulated Annealing specific Parameters ***

Initial acceptance rate chi  : 0.950
Neighborhood Size Factor beta: 3.000
Increment delta              : 0.100000
Converge event number        : 3
Converge tolerance epsilon   : 0.001

Calculated Parameters     
  Neighboorhood Size         : 91804
  Initial temperature c0     : 103.000000


*** Metropolis Hastings specific Parameters ***

Burnin Iterations            : 50000000
Iterations                   : 1215752192
Sample frequency             : 1000
MCMCMC Swap frequency        : 25
MCMCMC Number of swaps       : -1 (-1 == number threads)
MCMCMC Temperature           : 0.500


*** Data Parameters ***

  Nfmax                      : 60000
  Nmmax                      : 60000

 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |      Stage |  Iteration | Best Score |    Average |    Sigma |     Temp | Ratio |     x_f |     x_m | Thread |
 +------------+------------+------------+------------+----------+----------+-------+---------+---------+--------+
 |          1 |          0 |  -3743.951 |  -4095.699 |  145.143 |  103.000 |  0.67 |   0.456 |   0.456 |      0 |
 |          2 |     275412 |  -3656.656 |  -4196.216 |  175.486 |  100.729 |  0.65 |   0.383 |   0.383 |      0 |
 |          3 |     550823 |  -3575.122 |  -3982.330 |  120.031 |   98.925 |  0.70 |   0.386 |   0.386 |      0 |
 |          4 |     826234 |  -3575.122 |  -4101.059 |  199.906 |   96.401 |  0.67 |   0.366 |   0.366 |      0 |
 |          5 |    1101645 |  -3575.122 |  -4081.080 |  155.043 |   94.946 |  0.67 |   0.510 |   0.510 |      0 |
 |          6 |    1377056 |  -3575.122 |  -3992.286 |  106.953 |   93.134 |  0.70 |   0.723 |   0.723 |      0 |
 |          7 |    1652467 |  -3575.122 |  -4035.341 |  137.755 |   90.627 |  0.69 |   0.717 |   0.717 |      0 |
 |          8 |    1927878 |  -3575.122 |  -4036.544 |  108.937 |   88.772 |  0.68 |   0.700 |   0.700 |      0 |
 |          9 |    2203289 |  -3575.122 |  -4080.570 |  174.226 |   86.531 |  0.67 |   0.333 |   0.333 |      0 |
 |         10 |    2478700 |  -3575.122 |  -4099.592 |  188.304 |   85.187 |  0.67 |   0.427 |   0.427 |      0 |
