Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Fri Nov  1 07:50:25 2024


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

TV2033         0.1540 %
TV2502         0.1748 %
TV2755         0.0677 %
TV2780         0.0516 %
TV2788         0.0646 %
TV3008         0.2295 %
TV3017         0.1799 %
TV3050         0.5289 %
TV3055         0.4825 %
TV3228         0.2654 %
TV3234         0.4991 %
TV4256         0.1048 %
TV4261         0.2991 %
TV4272         0.5613 %
TV4288         0.0581 %
TV4308         0.4017 %
TV4519         0.1259 %
TV4528         0.4072 %
TV4530         0.1291 %
TV4536         0.2704 %
TV4753         0.6323 %
TV4796         0.0671 %
TV4811         0.0509 %
TV5029         0.1042 %
TV5032         0.2336 %
TV5045         0.3262 %
TV5059         0.4934 %
TV5064         0.0602 %
TV5065         0.0942 %
TV5071         0.0955 %
TV5075         0.3223 %
TV5119         0.0745 %
TV5139         0.0599 %
TV5218         0.4917 %
TV5227         0.0663 %
TV5304         0.2312 %
TV5311         0.0536 %

TOTAL: 37

*** Locus 2 ***

TV2031         0.1373 %
TV2053         0.1170 %
TV2064         0.1162 %
TV2065         0.1189 %
TV4254         0.5177 %
TV4286         0.6180 %
TV4287         0.3715 %
TV4291         0.2169 %
TV4304         0.1111 %
TV4525         0.0891 %
TV4546         0.7550 %
TV4547         0.1216 %
TV4754         0.7345 %
TV4771         0.1131 %
TV4774         0.0845 %
TV4796         0.2125 %
TV4835         0.2630 %
TV5056         0.2212 %
TV5063         0.2124 %
TV5138         0.5178 %

TOTAL: 20

*** Locus 3 ***

TV2041         0.0932 %
TV2773         0.0867 %
TV3001         0.0744 %
TV3017         0.3577 %
TV3056         0.5770 %
TV3211         0.4713 %
TV3212         0.0912 %
TV3213         0.4557 %
TV3228         0.1601 %
TV4255         0.3766 %
TV4259         0.3605 %
TV4272         0.0633 %
TV4286         0.0922 %
TV4301         0.1977 %
TV4302         0.0640 %
TV4305         0.1951 %
TV4316         0.8844 %
TV4513         0.1719 %
TV4514         0.2440 %
TV4516         0.1193 %
TV4517         0.0600 %
TV4524         0.0795 %
TV4550         0.0795 %
TV4552         0.0635 %
TV4558         0.5542 %
TV4566         0.1256 %
TV4754         0.8334 %
TV4755         0.4127 %
TV4772         0.0528 %
TV4773         0.1021 %
TV4798         0.2809 %
TV4827         0.1072 %
TV5081         0.4345 %
TV5125         0.1511 %
TV5132         0.2022 %
TV5143         0.1946 %
TV5168         0.1799 %
TV5169         0.1551 %
TV5247         0.1590 %
TV5252         0.5051 %
TV5254         0.4432 %
TV5257         0.4658 %
TV5274         0.1065 %
TV5280         0.1699 %
TV5303         0.1157 %
TV5304         0.0617 %

TOTAL: 46

*** Locus 4 ***

TV2290         0.0977 %
TV2299         0.0998 %
TV3056         0.5640 %
TV3201         0.2292 %
TV3227         0.0648 %
TV3228         0.1601 %
TV3243         0.0676 %
TV4251         0.2891 %
TV4255         0.3189 %
TV4267         0.2946 %
TV4282         0.2315 %
TV4319         0.1242 %
TV4553         0.3431 %
TV4554         0.3304 %
TV4558         0.1574 %
TV4755         0.3535 %
TV4757         0.3590 %
TV4758         0.4499 %
TV4796         0.2796 %
TV4813         0.3283 %
TV4817         0.0996 %
TV4835         0.2630 %
TV5019         0.2540 %
TV5024         0.2408 %
TV5113         0.3533 %
TV5119         0.0745 %
TV5201         0.3752 %
TV5216         0.2404 %
TV5217         0.0969 %
TV5227         0.1186 %
TV5228         0.1259 %
TV5244         0.1067 %
TV5251         0.0966 %
TV5308         0.2348 %

TOTAL: 34

*** Locus 5 ***

TV2033         0.1471 %
TV3010         0.0670 %
TV3011         0.1959 %
TV3031         0.1293 %
TV3041         0.1156 %
TV3202         0.4454 %
TV3209         0.2308 %
TV3218         0.1709 %
TV3231         0.1925 %
TV4287         0.1242 %
TV4291         0.0657 %
TV4299         0.4041 %
TV4312         0.4732 %
TV4506         0.0637 %
TV4517         0.4573 %
TV4545         0.5122 %
TV4547         0.3882 %
TV4769         0.0583 %
TV5002         0.1129 %
TV5023         0.0619 %
TV5025         0.0616 %
TV5026         0.0589 %
TV5037         0.2780 %
TV5112         0.0963 %
TV5113         0.0522 %
TV5124         0.4667 %
TV5168         0.0570 %
TV5169         0.1213 %
TV5177         0.2087 %
TV5241         0.4369 %
TV5257         0.0893 %
TV5268         0.2946 %
TV5280         0.1389 %

TOTAL: 33

*** Locus 6 ***

TV2004         0.2641 %
TV2005         0.3836 %
TV2527         0.0878 %
TV2780         0.0516 %
TV2788         0.0639 %
TV4314         0.1332 %
TV4315         0.0933 %
TV4318         0.1075 %
TV4509         0.1345 %
TV4536         0.2704 %
TV4553         0.3431 %
TV4554         0.3298 %
TV4569         0.0502 %
TV5028         0.2781 %
TV5029         0.2550 %
TV5032         0.0670 %
TV5235         0.6883 %
TV5249         0.4860 %
TV5251         0.1638 %
TV5257         0.3059 %
TV5304         0.2312 %

TOTAL: 21

*** Locus 7 ***

TV3215         0.1454 %
TV3216         0.1261 %
TV4516         0.1142 %
TV4517         0.0600 %
TV5025         0.0616 %
TV5026         0.0606 %
TV5172         0.2434 %
TV5251         0.0926 %
TV5257         0.0990 %
TV5262         0.1889 %
TV5306         0.4446 %

TOTAL: 11

*** Locus 8 ***

TV3010         0.3006 %
TV3017         0.1406 %
TV4267         0.0991 %
TV4288         0.0833 %
TV4316         0.9591 %
TV4524         0.0832 %
TV4569         0.0515 %
TV5249         0.5203 %
TV5251         0.2499 %
TV5254         0.0685 %
TV5274         0.1065 %
TV5280         0.1704 %

TOTAL: 12

*** Locus 9 ***

TV2053         0.1052 %
TV2055         0.1450 %
TV2062         0.1405 %
TV2285         0.0644 %
TV2302         0.0716 %
TV2774         0.0721 %
TV2788         0.0889 %
TV2810         0.1224 %
TV3011         0.1449 %
TV3022         0.0663 %
TV3212         0.2311 %
TV3228         0.2881 %
TV3231         0.1351 %
TV4254         0.0561 %
TV4261         0.1811 %
TV4265         0.3077 %
TV4278         0.5922 %
TV4284         0.6000 %
TV4287         0.2302 %
TV4293         0.1289 %
TV4302         0.0945 %
TV4502         0.1880 %
TV4546         0.0972 %
TV4752         0.6968 %
TV4757         0.2057 %
TV4760         0.0908 %
TV4769         0.7036 %
TV4774         0.2430 %
TV4779         0.1150 %
TV4795         0.0620 %
TV4797         0.1815 %
TV4802         0.1744 %
TV5205         0.0600 %
TV5217         0.1632 %
TV5220         0.1957 %
TV5225         0.1220 %
TV5236         0.1004 %
TV5248         0.1887 %
TV5251         0.3977 %
TV5255         0.5946 %
TV5277         0.0620 %
TV5311         0.1797 %

TOTAL: 42

*** Locus 10 ***

TV3034         0.0600 %
TV3222         0.3339 %
TV3223         0.3436 %
TV4251         0.2891 %
TV4252         0.1982 %
TV4272         0.0886 %
TV4288         0.0573 %
TV4292         0.0809 %
TV4314         0.1332 %
TV4509         0.1345 %
TV4550         0.0795 %
TV4552         0.0635 %
TV4791         0.3950 %
TV4823         0.7842 %
TV5117         0.2646 %
TV5119         0.2259 %
TV5120         0.3689 %
TV5227         0.1811 %
TV5251         0.1176 %
TV5254         0.0732 %
TV5269         0.0565 %
TV5304         0.0617 %
TV5310         0.3714 %

TOTAL: 23

