Offspring,Loci Typed,Parent 1,Loci Typed,Parent 2,Loci Typed,LOD,Posterior,Common Loci Typed,Mismatches,n_f,n_m,Pair LOD Parent 1,Pair LOD Parent 2
TV1003,10,,,,,0.000000E+00,0.9985,10,0,338,338,,,<
TV1003,10,TV5076,7,,,1.923394E+00,0.0009,10,1,338,338,1.923394E+00,
TV1003,10,TV2796,6,,,7.574221E-01,0.0006,10,1,338,338,7.574221E-01,
TV1003,10,TV5076,7,TV4570,9,1.717164E+00,0.0000,10,3,338,338,1.923394E+00,-6.119595E+00
TV1003,10,TV4540,9,,,9.324304E-01,0.0000,10,2,338,338,9.324304E-01,
TV2003,10,,,,,0.000000E+00,0.9551,10,0,338,338,,,<
TV2003,10,TV2026,9,,,5.331673E+00,0.0418,10,1,338,338,5.331673E+00,
TV2003,10,TV5088,9,,,2.812609E+00,0.0030,10,2,338,338,2.812609E+00,
TV2003,10,TV5168,9,,,-4.039326E-01,0.0001,10,2,338,338,-4.039326E-01,
TV2003,10,TV5168,9,TV2782,8,1.572341E+00,0.0000,10,3,338,338,-4.039326E-01,-1.250903E+00
TV2004,10,,,,,0.000000E+00,0.4535,10,0,338,338,,,<
TV2004,10,TV2005,10,,,8.540957E+00,0.2600,10,1,338,338,8.540957E+00,
TV2004,10,TV5080,9,,,7.889235E+00,0.2209,10,0,338,338,7.889235E+00,
TV2004,10,TV5116,7,,,6.041686E+00,0.0414,10,0,338,338,6.041686E+00,
TV2004,10,TV3240,10,,,4.901136E+00,0.0134,10,1,338,338,4.901136E+00,
TV2004,10,TV5081,10,,,3.819637E+00,0.0065,10,1,338,338,3.819637E+00,
TV2004,10,TV5116,7,TV2005,10,1.318281E+01,0.0041,10,2,338,338,6.041686E+00,8.540957E+00
TV2004,10,TV5029,7,,,1.467998E+00,0.0001,10,1,338,338,1.467998E+00,
TV2004,10,TV5112,7,TV2789,9,3.889806E+00,0.0000,10,3,338,338,-3.177893E+00,2.016065E+00
TV2004,10,TV5116,7,TV3240,10,5.644773E+00,0.0000,10,3,338,338,6.041686E+00,4.901136E+00
TV2004,10,TV2789,9,,,2.016065E+00,0.0000,10,2,338,338,2.016065E+00,
TV2004,10,TV2789,9,TV2784,9,1.959798E+00,0.0000,10,3,338,338,2.016065E+00,-2.842044E+00
TV2004,10,TV5022,6,TV2005,10,1.614904E+00,0.0000,10,3,338,338,-1.097171E+01,8.540957E+00
TV2004,10,TV5076,7,TV2789,9,8.781859E-01,0.0000,10,3,338,338,-7.880848E+00,2.016065E+00
TV2004,10,TV5021,7,,,8.202128E-01,0.0000,10,1,338,338,8.202128E-01,
TV2004,10,TV5029,7,TV2005,10,7.286103E+00,0.0000,10,3,338,338,1.467998E+00,8.540957E+00
TV2004,10,TV5028,7,TV2005,10,4.880358E+00,0.0000,10,3,338,338,-5.102928E+00,8.540957E+00
TV2004,10,TV5166,9,,,-3.655329E-01,0.0000,10,2,338,338,-3.655329E-01,
TV2005,10,,,,,0.000000E+00,0.6163,10,0,338,338,,,<
TV2005,10,TV2004,10,,,8.540957E+00,0.3836,10,1,338,338,8.540957E+00,
TV2005,10,TV3049,10,,,1.477865E+00,0.0001,10,2,338,338,1.477865E+00,
TV2005,10,TV5185,6,TV2004,10,3.160142E+00,0.0000,10,3,338,338,-5.757558E+00,8.540957E+00
TV2017,10,,,,,0.000000E+00,0.9979,10,0,338,338,,,<
TV2017,10,TV2782,8,,,2.195081E+00,0.0014,10,1,338,338,2.195081E+00,
TV2017,10,TV5146,7,,,9.317451E-01,0.0006,10,1,338,338,9.317451E-01,
TV2017,10,TV2293,10,,,-5.742921E-02,0.0001,10,2,338,338,-5.742921E-02,
TV2017,10,TV5078,6,TV2782,8,6.220866E+00,0.0000,10,2,338,338,-6.526032E-01,2.195081E+00
TV2017,10,TV3212,9,,,-3.419713E-01,0.0000,10,2,338,338,-3.419713E-01,
TV2017,10,TV5078,6,TV4568,10,2.653144E+00,0.0000,10,3,338,338,-6.526032E-01,-7.121659E-01
