Software Version            : FRANz 1.2.3
Dataset                     : cloneless
Time of Data Analysis       : Sat Jan  4 05:17:57 2025


*** MCMC Mismatches ***

Only mismatches with a percentage >= 0.05 are listed.

*** Locus 1 ***

51C0050        0.1508 %
MB0458         0.3147 %
TV0185         0.1345 %
TV0291         0.2292 %
TV0293         0.4088 %
TV1180         0.2020 %
TV1239         0.0847 %
TV1288         0.1599 %
TV2033         0.0943 %
TV2062         0.4255 %
TV2078         0.0742 %
TV2266         1.0000 %
TV2282         0.1075 %
TV2502         0.0750 %
TV2795         0.0849 %
TV3008         0.1494 %
TV3017         0.2114 %
TV3050         0.5033 %
TV3055         0.4876 %
TV3228         0.2388 %
TV3234         0.4877 %
TV4006         0.5440 %
TV4256         0.1335 %
TV4261         0.3712 %
TV4272         0.5183 %
TV4286         0.1139 %
TV4308         0.3323 %
TV4528         0.3489 %
TV4530         0.1027 %
TV4536         0.2256 %
TV4753         0.6290 %
TV5029         0.1226 %
TV5032         0.3603 %
TV5045         0.3020 %
TV5056         0.2717 %
TV5059         0.4872 %
TV5071         0.0570 %
TV5075         0.3110 %
TV5119         0.0783 %
TV5139         0.0591 %
TV5218         0.5503 %
TV5230         0.1064 %
TV5304         0.2163 %
TV6308         0.0750 %
TV6900         0.4681 %
TVE0036        0.1130 %

TOTAL: 46

*** Locus 2 ***

HS0123         0.0729 %
MB0002         0.2922 %
MB0008         0.3913 %
MB0009         0.4930 %
MB0010         0.3958 %
MB0011         0.5041 %
MB0450         0.2839 %
TV0195         0.4389 %
TV0198         0.3981 %
TV0229         0.0531 %
TV0241         0.0631 %
TV0258         0.1562 %
TV0259         0.2150 %
TV0441         0.2326 %
TV0538         0.1059 %
TV1028         0.0537 %
TV1036         0.0965 %
TV1258         0.1079 %
TV1408         0.0514 %
TV2031         0.0642 %
TV2053         0.0656 %
TV2530         0.0565 %
TV4254         0.4727 %
TV4284         0.3357 %
TV4286         0.5879 %
TV4287         0.4031 %
TV4291         0.2176 %
TV4295         1.0000 %
TV4304         0.0990 %
TV4501         0.0611 %
TV4525         0.0867 %
TV4546         0.7977 %
TV4547         0.1137 %
TV4754         0.8025 %
TV4796         0.1564 %
TV4835         0.2464 %
TV5056         0.1037 %
TV5063         0.1454 %
TV5138         0.4749 %
TV5188         0.0676 %
TV5295         0.0522 %
TV6310         0.4998 %
TV6316         0.5002 %

TOTAL: 43

*** Locus 3 ***

51C0068        0.1107 %
MB0403         0.2932 %
MB0452         0.2926 %
MR0045         0.0560 %
TV0176         0.4054 %
TV0177         0.4251 %
TV0244         0.2091 %
TV0263         0.1266 %
TV0284         0.1527 %
TV0285         0.1602 %
TV2071         0.0571 %
TV2266         1.0000 %
TV3001         0.0502 %
TV3017         0.2043 %
TV3056         0.3466 %
TV3211         0.4630 %
TV3212         0.0792 %
TV3213         0.4755 %
TV4001         0.4059 %
TV4004         0.7727 %
TV4007         0.4315 %
TV4010         0.8973 %
TV4255         0.3167 %
TV4259         0.3902 %
TV4265         0.1655 %
TV4272         0.1954 %
TV4273         0.0990 %
TV4284         0.1059 %
TV4286         0.0769 %
TV4301         0.1462 %
TV4305         0.1417 %
TV4316         0.9124 %
TV4505         0.0513 %
TV4512         0.7034 %
TV4513         0.1601 %
TV4514         0.2215 %
TV4516         0.1564 %
TV4517         0.0764 %
TV4524         0.8412 %
TV4558         0.5656 %
TV4566         0.0871 %
TV4754         0.8854 %
TV4755         0.6371 %
TV4773         0.1099 %
TV4798         0.2254 %
TV4827         0.1447 %
TV5081         0.3046 %
TV5125         0.1180 %
TV5128         0.1102 %
TV5132         0.2119 %
TV5143         0.1569 %
TV5168         0.0938 %
TV5247         0.1320 %
TV5252         0.4883 %
TV5254         0.4645 %
TV5257         0.4451 %
TV5274         0.0603 %
TV5280         0.1053 %
TV5303         0.0811 %
TV5304         0.0576 %
TV6609         0.3607 %

TOTAL: 61

*** Locus 4 ***

51C0059        0.3125 %
51C0063        0.3213 %
TV0190         0.5488 %
TV0196         0.4265 %
TV0459         0.1399 %
TV0899         0.1684 %
TV0971         0.3311 %
TV0983         0.3439 %
TV1196         0.2386 %
TV1321         0.4790 %
TV1345         0.5279 %
TV2078         0.0742 %
TV2290         0.0823 %
TV3056         0.3402 %
TV3201         0.1321 %
TV4251         0.0724 %
TV4255         0.3436 %
TV4267         0.2195 %
TV4282         0.1682 %
TV4290         0.0535 %
TV4319         0.1025 %
TV4553         0.3141 %
TV4554         0.3138 %
TV4556         0.4183 %
TV4558         0.1539 %
TV4757         0.3831 %
TV4758         0.4599 %
TV4796         0.1494 %
TV4813         0.2457 %
TV4817         0.1523 %
TV4835         0.2464 %
TV5019         0.1917 %
TV5024         0.1828 %
TV5113         0.2349 %
TV5119         0.0784 %
TV5201         0.2564 %
TV5216         0.1206 %
TV5217         0.3406 %
TV5227         0.0672 %
TV5228         0.4485 %
TV5244         0.0954 %
TV5308         0.1693 %
TV6308         0.0750 %
TV6609         0.1179 %
TV6610         0.1919 %

TOTAL: 45

*** Locus 5 ***

51C0065        0.1834 %
HS0167         0.1203 %
MB0003         0.2328 %
MB0106         0.1369 %
MB0112         0.2777 %
MB0115         0.2560 %
MR0057         0.0678 %
TV0241         0.1579 %
TV0245         0.6680 %
TV1263         0.0742 %
TV2033         0.0963 %
TV2501         0.0883 %
TV3010         0.0502 %
TV3011         0.1462 %
TV3031         0.0813 %
TV3041         0.0743 %
TV3202         0.2754 %
TV3209         0.1556 %
TV3218         0.0794 %
TV3231         0.0844 %
TV4004         0.0503 %
TV4287         0.1058 %
TV4291         0.0595 %
TV4299         0.4133 %
TV4312         0.4710 %
TV4517         0.4521 %
TV4545         0.5259 %
TV4547         0.4220 %
TV4789         0.5623 %
TV5002         0.0610 %
TV5084         0.1837 %
TV5124         0.4979 %
TV5177         0.1691 %
TV5241         0.4376 %
TV5259         0.0953 %
TV5280         0.0728 %
TV6301         0.1158 %
TVS0005        0.0671 %
TVS0213        0.0604 %

TOTAL: 39

*** Locus 6 ***

TV0006         0.7568 %
TV0019         0.2580 %
TV0194         0.2587 %
TV0196         0.1296 %
TV0234         0.1155 %
TV0244         0.2962 %
TV0245         0.6555 %
TV0952         0.5602 %
TV2004         0.2157 %
TV2005         0.2898 %
TV2527         0.1703 %
TV4262         0.0987 %
TV4315         0.0503 %
TV4318         0.0536 %
TV4536         0.2256 %
TV4553         0.3141 %
TV4554         0.3130 %
TV4562         0.1196 %
TV4764         0.8803 %
TV4774         0.5902 %
TV4796         0.3341 %
TV5028         0.3200 %
TV5029         0.2661 %
TV5032         0.1365 %
TV5188         0.0675 %
TV5235         0.6861 %
TV5249         0.3024 %
TV5251         0.1262 %
TV5257         0.3043 %
TV5304         0.2165 %
TV5311         0.1933 %
TV6310         0.4998 %
TV6316         0.5002 %
TV6612         0.5254 %
TV6729         0.0532 %

TOTAL: 35

*** Locus 7 ***

MB0020         0.2064 %
MB0024         0.5286 %
MR0033         0.0528 %
TV0007         0.3727 %
TV0008         0.1151 %
TV0240         0.2751 %
TV0287         0.0522 %
TV3215         0.0733 %
TV3216         0.0626 %
TV4516         0.1519 %
TV4517         0.0764 %
TV4518         0.2431 %
TV5172         0.1959 %
TV5175         0.0765 %
TV5251         0.0547 %
TV5257         0.0620 %
TV5262         0.0822 %
TV5305         0.3688 %
TV5306         0.3084 %
TV6300         0.0508 %
TV6601         0.9480 %

TOTAL: 21

*** Locus 8 ***

51C0054        0.4479 %
51C0060        0.2178 %
51C0116        0.2199 %
MB0102         0.4384 %
MB0106         0.3545 %
TV0003         0.8816 %
TV0004         0.0642 %
TV0019         0.0965 %
TV0208         0.6849 %
TV0327         0.0765 %
TV0886         0.0530 %
TV0959         0.1456 %
TV1171         0.0514 %
TV1296         0.0600 %
TV1341         0.0711 %
TV2299         0.4247 %
TV3010         0.2504 %
TV3017         0.1452 %
TV3037         0.4269 %
TV3040A        0.3039 %
TV3244         0.0944 %
TV4267         0.0962 %
TV4284         0.4451 %
TV4316         0.9540 %
TV4524         0.8886 %
TV4774         0.0594 %
TV5249         0.3234 %
TV5251         0.1829 %
TV5274         0.0603 %
TV5280         0.1062 %
TV6905         0.0544 %
TVS0204        0.3260 %
TVS0205        0.3247 %

TOTAL: 33

*** Locus 9 ***

MB0004         0.7251 %
MB0112         0.0599 %
MB0116         0.3652 %
MB0453         0.1474 %
TV0187         0.4324 %
TV0216         0.5632 %
TV0228         0.3988 %
TV0275         0.1318 %
TV0399         0.4855 %
TV0930         0.3075 %
TV0980         0.1230 %
TV1092         0.1478 %
TV1227         0.1214 %
TV1283         0.1272 %
TV1408         0.4649 %
TV2013         0.0681 %
TV2026         0.0830 %
TV2053         0.0626 %
TV2055         0.0858 %
TV2285         0.1054 %
TV2810         0.0683 %
TV3011         0.0584 %
TV3212         0.2386 %
TV3226         0.1602 %
TV3231         0.0534 %
TV4261         0.1384 %
TV4265         0.2294 %
TV4278         0.6191 %
TV4284         0.3178 %
TV4287         0.2830 %
TV4293         0.0926 %
TV4295         1.0000 %
TV4302         0.1013 %
TV4502         0.0988 %
TV4506         0.0597 %
TV4533         0.0681 %
TV4546         0.0624 %
TV4567         0.2213 %
TV4757         0.1808 %
TV4760         0.1150 %
TV4769         0.6132 %
TV4774         0.1307 %
TV4797         0.0966 %
TV4802         0.1846 %
TV5117         0.0962 %
TV5128         0.1144 %
TV5207         0.3157 %
TV5217         0.1186 %
TV5220         0.2044 %
TV5225         0.0701 %
TV5236         0.1049 %
TV5248         0.1613 %
TV5251         0.4345 %
TV5255         0.5415 %
TV6608         0.1701 %
TV6609         0.1128 %
TVS0020        0.1063 %
TVS0050        0.1056 %

TOTAL: 58

*** Locus 10 ***

HS0005         0.0930 %
MB0101         0.3662 %
MB0120         0.4409 %
MB0121         0.4321 %
MR0022         0.0989 %
TV0204         0.3325 %
TV0228         0.0876 %
TV0239         0.6549 %
TV0279         0.0907 %
TV0293         0.0984 %
TV0341         0.0975 %
TV0343         0.0552 %
TV0691         0.2706 %
TV0946         0.2727 %
TV1263         0.1134 %
TV1333         0.2507 %
TV1419         0.1501 %
TV2265         0.9121 %
TV2266         1.0000 %
TV2766         0.0532 %
TV3222         0.3221 %
TV3223         0.3241 %
TV4251         0.0724 %
TV4252         0.1371 %
TV4272         0.0987 %
TV4292         0.1450 %
TV4567         0.1319 %
TV4789         0.1561 %
TV4791         0.3426 %
TV4823         0.7822 %
TV5117         0.2115 %
TV5119         0.2033 %
TV5120         0.1957 %
TV5154         0.2771 %
TV5227         0.1046 %
TV5246         0.3382 %
TV5304         0.0578 %
TV5310         0.3439 %
TV6107         0.1487 %
TVS0020        0.4813 %
TVS0050        0.4829 %

TOTAL: 41

